acc_x,acc_y,acc_z,gy_x,gy_y,gy_z,pitch,roll,yaw,direction,trainable
0.4463,-0.0077,0.9297,0.0438,1.3701,-0.107,127.5732,340.1864,0.5547,down,train
0.1898,-0.0024,0.9994,0.0158,0.1203,-0.0349,127.698,345.1229,359.7204,down,train
0.0967,-0.027,0.9804,0.2632,0.8793,0.079,129.8705,354.8304,1.9677,down,train
-0.0541,0.0333,0.9714,-0.0765,0.3149,0.0067,131.8681,0.3683,2.4159,down,train
-0.0077,0.0095,0.9953,0.2656,-1.1026,-0.2597,128.7096,350.0333,5.862,down,train
0.2245,0.0456,0.9351,-0.1501,-1.014,0.0265,127.9752,337.8492,4.329,down,train
0.4257,0.0893,0.8649,0.1908,-1.0577,-0.2441,124.5546,327.7152,8.3934,down,train
0.6437,0.0947,0.7452,0.1425,-1.2862,0.0717,121.4115,313.0567,11.886,down,train
0.8209,0.1034,0.53,-0.0279,-1.3656,0.0641,116.6176,296.977,15.6379,down,train
0.9269,0.0692,0.3675,-0.1382,-0.5712,0.0317,114.9528,291.106,15.5578,down,train
0.9489,0.0726,0.2659,-0.0444,-0.6017,0.0549,104.1497,283.261,22.7258,down,train
0.9797,0.052,0.2013,0.1358,0.9722,-0.0153,112.225,291.4747,14.9,down,train
0.8762,0.0228,0.5213,0.2167,0.9059,-0.0889,113.3528,303.3057,15.4552,down,train
0.6965,0.0221,0.6909,-0.0255,1.2828,0.0454,118.8437,315.953,10.9964,down,train
0.5319,0.0012,0.8464,0.0512,1.394,-0.0355,123.0699,331.5297,7.486,down,train
0.2829,0.0347,0.9053,0.0216,1.5629,0.0467,126.2762,350.7081,8.323,down,train
0.0672,0.0197,0.9875,-0.0753,0.5965,0.0207,129.9288,358.3309,5.896,down,train
-0.003,0.0061,0.9987,-0.0869,-0.3198,-0.037,130.2386,356.8779,4.349,down,train
0.0655,0.051,0.9887,0.1242,-1.1414,-0.0456,129.7886,346.7956,6.5877,down,train
0.2968,-0.0036,0.9519,0.0032,-1.0437,-0.1812,128.7672,339.4857,5.7241,down,train
0.4403,0.1112,0.8617,0.2192,-1.6359,-0.0575,126.8067,325.7103,8.4842,down,train
0.7191,0.1729,0.6051,-0.1336,-1.6179,0.2092,123.4196,308.7801,11.9333,down,train
0.9594,0.0794,0.406,-0.2179,-1.0999,0.0467,115.0769,292.2061,15.6778,down,train
0.9538,0.0357,0.1962,-0.1898,-0.4945,0.0112,106.8952,284.1284,21.6715,down,train
0.9909,0.0318,0.1794,0.0203,0.1184,0.0093,104.2356,284.3529,22.0218,down,train
0.883,-0.0297,0.3044,-0.0915,1.8942,0.4812,126.5982,304.4542,359.4215,down,train
0.6413,0.0134,0.802,-0.1513,2.7772,0.253,124.8369,337.5303,357.6194,down,train
0.2621,-0.0656,0.9628,0.2561,1.2543,0.0019,125.1979,356.113,0.5476,down,train
0.0119,-0.0145,1.0177,0.0933,0.3972,0.0148,126.6009,5.1985,2.7705,down,train
0.1139,-0.0357,1.0462,0.2305,-1.8847,-0.3951,123.9647,353.1389,4.1993,down,train
0.3668,0.0097,0.9073,0.3835,-2.2866,-0.4156,118.5488,333.8493,9.6179,down,train
0.7768,0.1015,0.5086,0.0368,-1.3098,0.1229,116.3013,311.4151,17.3489,down,train
0.9014,0.0986,0.4216,-0.1235,-0.9085,-0.0091,110.4894,299.7549,20.1135,down,train
0.9805,0.1277,0.1957,0.1361,-0.724,0.0184,98.5675,288.7326,34.5205,down,train
1.0115,0.1066,0.0812,-0.4742,-0.0343,-0.0674,98.6951,286.133,27.3478,down,train
0.9918,0.1418,0.2135,0.0961,1.2439,0.2493,109.3043,299.2875,17.6348,down,train
0.8214,0.0248,0.4496,0.3114,0.9262,-0.0701,115.8247,309.2646,14.5881,down,train
0.7533,0.0269,0.6502,-0.0811,1.3245,0.0975,122.7606,324.7878,8.1814,down,train
0.5588,0.0214,0.8227,-0.1306,1.2387,0.0013,125.173,339.7556,5.3486,down,train
0.3372,0.0024,0.9139,0.1816,1.494,-0.0365,126.8445,352.0013,6.3466,down,train
0.0899,0,1.0325,-0.0139,1.0029,0.0441,127.0053,3.5066,4.9525,down,train
-0.0348,-0.0246,0.9589,-0.0893,0.9601,0.0252,128.971,11.377,4.3507,down,train
-0.1044,-0.0393,1.0296,0.1645,-0.5496,-0.0836,129.3922,9.8806,4.5505,down,train
0.0764,0.0005,0.9814,0.531,-2.4769,-0.3667,126.3094,349.7679,8.212,down,train
0.296,0.0294,0.9304,0.2488,-1.4027,-0.1853,122.9557,337.8664,9.873,down,train
0.7125,0.1027,0.7114,0.257,-1.7335,-0.0286,117.3458,317.1734,16.1859,down,train
0.8789,0.1119,0.4128,-0.3676,-1.2897,0.0795,110.9005,300.2422,16.4385,down,train
0.9538,0.0512,0.2193,-0.1187,-0.7237,-0.0176,100.8672,289.1228,22.5812,down,train
0.9741,0.0619,0.2237,0.1284,1.4378,0.2567,112.0148,300.5691,11.5618,down,train
0.8469,0.0357,0.5084,0.1471,1.509,-0.0466,116.9809,316.3838,10.3178,down,train
0.6665,0.0311,0.7365,-0.2442,1.9922,0.1489,120.4621,333.4959,6.1886,down,train
0.3346,-0.0002,0.9385,0.3013,2.1406,0.3113,125.4754,353.2882,6.3699,down,train
0.0002,-0.0053,1.0618,0.0331,0.3514,0.0661,128.8361,5.6068,5.361,down,train
0.0194,-0.0099,1.1171,0.4452,-1.8886,-0.4125,124.1881,349.4077,7.5802,down,train
0.4061,0.0709,0.8581,-0.1684,-1.7857,-0.214,118.0046,327.9047,10.2827,down,train
0.6934,0.0755,0.7028,0.3878,-1.7035,0.0074,112.2784,309.3906,15.7993,down,train
0.9288,0.1202,0.4382,-0.3651,-0.8721,-0.2088,103.1051,298.5396,18.0413,down,train
0.948,0.0694,0.3297,-0.1608,-0.0178,0.1846,105.0978,295.2544,14.8018,down,train
0.875,0.042,0.3668,-0.1312,0.816,0.1489,110.5873,302.3709,11.1532,down,train
0.8493,-0.0263,0.5442,0.0182,0.517,0.1373,116.1977,309.7185,5.6688,down,train
0.7295,0.0214,0.6675,0.2036,1.4,0.0316,120.2107,324.9475,5.6688,down,train
0.4117,0.0015,0.8888,-0.2592,2.1012,0.173,125.2547,352.2849,0.5546,down,train
0.0834,0.0354,0.9823,0.2549,0.9656,0.0673,127.0563,7.427,3.7208,down,train
0.0245,0.0039,1.0084,0.0123,-0.3301,-0.0438,128.0108,7.1204,4.2471,down,train
0.2303,0.059,0.9996,0.0621,-0.9519,-0.2805,126.1359,356.9644,5.4705,down,train
0.4621,0.0707,0.8222,-0.0439,-1.6129,-0.0847,123.7927,335.6742,4.9584,down,train
0.7879,0.0571,0.6166,-0.2446,-1.0695,0.0591,124.4879,319.2248,2.9002,down,train
0.8241,0.0097,0.4348,-0.0103,-1.6651,0.2839,127.8467,303.9499,359.2791,down,train
0.9758,-0.022,0.2303,-0.0582,-0.7635,-0.1626,124.7832,294.8997,0.1698,down,train
1.0083,-0.0024,0.0629,-0.097,-0.4162,0.1642,130.2811,286.9729,352.8568,down,train
0.956,0.001,0.1706,0.1629,-0.0075,0.0631,132.8651,288.0516,350.6482,down,train
0.8907,-0.0762,0.4106,0.2044,3.4524,0.0075,127.4892,323.8906,354.2419,down,train
0.5819,-0.007,0.8498,0.5319,2.41,0.1804,125.1955,347.6827,357.7601,down,train
0.1731,0.0253,0.9431,0.1751,2.4237,0.243,126.0483,8.2068,358.3168,down,train
-0.0592,0.0588,0.9909,-0.2409,-1.3331,0.0665,127.0558,358.7548,358.5329,down,train
0.2754,0.018,0.9455,0.0725,-0.9348,-0.0774,127.3543,346.0101,359.9081,down,train
0.474,0.0476,0.8578,0.2032,-1.5072,-0.2029,125.7475,330.9199,2.36,down,train
0.7426,0.1207,0.6078,0.1598,-1.8859,0.0127,124.837,309.8812,5.3246,down,train
0.9424,0.0874,0.3809,-0.2595,-0.9,0.0264,124.478,298.6973,3.0576,down,train
0.9695,0.1005,0.2123,-0.1267,-0.3084,0.1773,124.6945,292.2779,1.7547,down,train
0.9727,0.0602,0.3292,0.1198,1.5584,-0.1302,123.3082,303.3947,1.781,down,train
0.8185,0.1316,0.5015,-0.2439,1.9274,0.0549,121.1859,319.9828,2.937,down,train
0.4817,0.0524,0.8927,-0.349,2.049,0.3395,126.8444,343.6282,356.4306,down,train
0.0766,0.0058,1.0133,0.2194,1.3981,0.0991,127.9972,5.5153,357.695,down,train
