acc_x,acc_y,acc_z,gy_x,gy_y,gy_z,pitch,roll,yaw,direction
0.6049,-0.0027,0.996,0.2194,1.2513,-1.052,102.8091,359.7354,356.2053,punching
-0.6716,-0.1696,0.9105,-0.2234,0.948,0.7259,108.5858,8.6502,356.1839,punching
-0.7153,0.0393,0.8239,-0.1132,-0.7331,-0.1638,112.2307,8.5413,354.968,punching
-0.2513,-0.1235,1.1122,0.9745,-0.7964,-0.7557,112.9863,2.2219,355.5193,punching
0.1755,0.1195,0.9048,0.4693,0.2986,-0.0068,127.3665,0.9261,341.1504,punching
1.0864,-0.0581,0.8527,0.4094,0.4596,-1.1021,118.3109,353.0433,348.5253,punching
0.4323,0.0301,0.9904,0.3972,0.1835,-1.1681,114.0697,352.9872,356.9678,punching
-0.8521,-0.0236,0.7876,-0.1996,1.2998,0.5732,119.2925,9.3414,352.1089,punching
-0.8417,-0.1392,0.8688,0.3691,-0.8532,-0.3068,122.5814,10.4845,350.1355,punching
-0.2666,0.0015,0.9156,1.1,-1.5456,-1.4366,112.89,357.8399,358.6912,punching
0.2005,-0.048,0.9616,-0.4608,-0.7921,0.4913,110.3496,355.082,1.3061,punching
0.8469,-0.0967,1.092,0.0698,-0.8794,0.2467,131.5549,349.6489,350.9325,punching
0.6662,-0.0186,0.8776,0.1196,0.8915,-0.4613,123.9359,353.8025,347.3906,punching
-0.2807,0.1947,0.9624,-0.8587,1.6712,0.5631,116.4434,3.1199,348.9288,punching
-1.0772,-0.1218,0.7133,-0.1575,-0.2194,-0.1864,118.5297,8.8437,347.701,punching
-0.5045,-0.0285,0.8968,-0.4149,-1.1898,0.1783,122.742,4.535,348.5657,punching
0.0465,-0.2726,0.9307,1.4968,-1.0703,-0.0896,127.402,356.435,350.2898,punching
1.4062,0.1547,0.9014,-0.356,0.6474,-0.2619,119.2277,351.1718,351.9061,punching
0.859,0.0153,0.9312,-0.7216,1.4287,-1.3174,109.7191,351.8126,357.7554,punching
-0.5277,-0.0364,1.2723,-0.1303,0.769,-0.352,115.2327,2.4155,355.711,punching
-0.8928,-0.1257,0.6911,-0.3832,-0.0734,0.2192,113.6285,7.4643,353.9308,punching
-0.3742,0.0537,0.9767,-0.0301,-0.6742,-0.4775,110.9731,2.3588,355.2576,punching
0.1969,-0.7813,1.1239,1.0172,-1.4234,-1.2316,134.6222,358.8306,357.8455,punching
0.746,0.1646,0.9114,-0.4479,0.3597,1.6975,137.647,355.4691,354.6797,punching
0.7128,0.0136,0.8663,0.5667,0.6245,-1.4023,130.378,357.3442,354.8577,punching
-0.6521,-0.0574,0.8015,-0.0832,1.2293,0.3117,129.5461,10.4786,353.4478,punching
-1.0547,-0.0753,0.7694,-0.068,-0.4066,0.4272,131.4483,13.0829,354.5079,punching
-0.5993,0.0707,0.9426,0.1968,-1.2108,-0.107,130.8212,5.5674,353.892,punching
0.146,-0.6713,0.9633,2.2884,-1.3507,-1.6094,133.4731,359.3825,356.6404,punching
0.8558,0.035,0.9702,-0.1538,0.543,-0.4793,121.3648,354.2609,0.4671,punching
0.7072,0.0027,0.9999,0.2292,0.0198,-1.9665,108.0873,349.6639,8.0963,punching
-0.4329,-0.1942,1.1368,0.0667,0.8753,-0.72,112.7728,358.3558,7.7396,punching
-1.1219,-0.164,0.7535,-0.0359,-0.4143,0.3383,110.5518,3.8855,7.122,punching
-0.2533,-0.1107,1.073,1.3144,-0.7939,0.0259,115.7457,356.8465,4.5491,punching
0.515,0.3958,0.5459,-0.7375,0.918,0.7448,109.3167,346.9678,4.301,punching
1.3245,-0.014,0.813,-0.3954,0.6337,-1.1846,98.7488,337.917,12.4384,punching
0.7576,-0.1184,0.9443,0.709,0.5585,-2.5346,89.3967,336.4472,17.9099,punching
-0.5815,-0.214,0.9329,-0.2274,1.1437,0.5463,102.6207,348.8064,5.3994,punching
-1.0012,-0.1387,0.8654,-0.0487,-0.1519,0.5139,106.2411,352.7888,4.9813,punching
-0.5509,0.0121,0.9767,-0.3969,-1.0129,0.55,107.6754,350.6633,6.2495,punching
-0.0491,-0.4265,1.1215,3.5728,-1.6873,-0.8623,115.7512,346.5809,13.549,punching
0.8132,0.3108,0.8797,-0.8309,-0.0453,0.7678,101.9831,345.1981,26.5244,punching
0.4168,-0.0116,0.8924,0.0157,0.5491,-1.0621,104.337,345.2476,20.0818,punching
-0.29,0.1503,1.1449,-0.5167,0.7684,0.6193,100.0637,356.9809,19.9088,punching
-0.9918,-0.097,0.714,-0.9492,0.5601,0.2256,106.5667,2.4958,11.8944,punching
-0.5156,-0.1855,0.7971,0.0182,-0.53,0.0478,106.1466,4.9005,5.3171,punching
0.112,0.1991,0.6689,0.0285,-1.1583,-1.0089,99.8696,351.9409,20.813,punching
1.2854,-0.1298,1.1244,-0.0051,-0.4448,-0.7002,106.9728,343.0423,17.8809,punching
0.4046,-0.0659,0.927,-0.3456,0.5775,-1.0025,104.0017,347.2073,18.3485,punching
-0.4964,-0.4376,0.997,-0.0157,1.097,-0.5768,112.0374,0.8105,2.6137,punching
-0.9464,-0.1768,0.8293,-0.0811,-0.2402,0.4626,114.6944,3.3808,359.8458,punching
-0.4362,0.092,0.8412,-0.3355,-1.0911,0.2452,113.612,353.7684,3.6217,punching
0.3896,-0.1008,1.0282,-0.0405,-0.26,-0.9301,116.8676,348.096,2.9638,punching
0.8149,-0.2123,1.0301,0.786,-1.2829,-0.3025,121.0899,343.8823,3.0395,punching
0.4349,0.0121,0.9558,0.0982,0.429,-0.2145,116.2105,347.7251,3.9133,punching
-0.0321,0.2887,0.9368,-1.8144,1.1297,1.3084,117.8239,355.1834,351.9396,punching
-0.8612,-0.1445,0.8824,-0.0451,0.8704,0.3753,120.0942,6.9157,346.7605,punching
-0.5801,-0.0709,0.9005,0.2585,-0.8061,-0.3171,123.9002,0.1358,348.0206,punching
-0.0338,0.4399,0.852,0.0291,-0.0649,0.2879,127.775,347.3525,352.9187,punching
0.7933,-0.0533,1.0345,0.6,-1.1546,0.4458,135.2794,348.2546,354.7124,punching
0.7189,-0.0813,0.8115,0.2069,0.7632,-1.0154,128.7838,347.5728,351.5069,punching
-0.0089,0.3168,0.7528,-1.1523,1.6205,0.6706,121.1454,353.083,352.8637,punching
-0.9056,-0.3066,0.8741,-0.2741,0.1752,-0.0007,129.7711,2.9959,348.0966,punching
-0.5295,-0.0931,0.948,0.1758,-0.8391,-0.2826,126.7074,359.7126,347.6944,punching
-0.0755,-0.1298,0.8744,-0.641,-0.2851,0.1862,128.0565,356.3235,343.4182,punching
0.7189,0.0867,1.0031,0.5261,-1.2377,0.4364,127.7341,353.0114,3.0393,punching
0.6495,0.3894,0.8366,-0.9525,0.0329,-0.0774,128.5527,352.2335,2.5748,punching
-0.0938,0.2035,0.8405,-0.3814,0.1465,0.8918,123.6248,358.6071,2.3486,punching
-0.37,-0.0755,1.0567,-0.4269,0.6865,0.6773,129.2268,2.4603,0.4234,punching
